Station_Id_C Year Mon Day Hour WIN_D_Avg_2mi WIN_S_Avg_2mi TEM PRE_1h
54519 2021 8 3 21 999017 0.1000 24.5000 0.5000 
54519 2021 8 3 22 160 0.6000 23.9000 9.6000 
54520 2021 8 3 18 119 0.6000 24.3000 0.0000 
54520 2021 8 3 19 89 0.9000 24.3000 0.0000 
54520 2021 8 3 20 97 1.0000 24.2000 0.2000 
54520 2021 8 3 21 112 0.9000 24.1000 0.1000 
54520 2021 8 3 22 137 0.5000 24.1000 0.9000 
54521 2021 8 3 18 999017 0.2000 25.1000 0.0000 
54521 2021 8 3 19 167 0.8000 25.3000 0.0000 
54521 2021 8 3 20 198 0.4000 25.1000 0.4000 
54521 2021 8 3 21 226 1.3000 24.8000 1.2000 
54521 2021 8 3 22 209 0.8000 24.5000 2.2000 
54522 2021 8 3 18 83 0.5000 24.0000 0.0000 
54522 2021 8 3 19 74 0.6000 24.0000 0.0000 
54522 2021 8 3 20 111 1.2000 24.0000 0.0000 
54522 2021 8 3 21 81 1.4000 23.9000 0.0000 
54522 2021 8 3 22 107 0.8000 24.0000 0.1000 
54531 2021 8 3 18 142 0.5000 23.2000 0.0000 
54531 2021 8 3 19 84 0.5000 22.7000 0.0000 
54531 2021 8 3 20 75 0.7000 22.6000 0.0000 
54531 2021 8 3 21 93 0.9000 22.7000 0.0000 
54531 2021 8 3 22 108 1.0000 22.8000 0.0000 
54532 2021 8 3 18 125 1.3000 24.7000 0.0000 
54532 2021 8 3 19 122 1.0000 24.9000 0.0000 
54532 2021 8 3 20 108 0.7000 24.9000 0.0000 
54532 2021 8 3 21 105 1.1000 24.9000 0.0000 
54532 2021 8 3 22 107 1.1000 24.8000 0.0000 
54533 2021 8 3 18 175 2.5000 25.4000 0.0000 
54533 2021 8 3 19 197 2.7000 25.5000 0.0000 
54533 2021 8 3 20 183 1.9000 25.5000 0.0000 
54533 2021 8 3 21 175 1.8000 25.5000 0.0000 
54533 2021 8 3 22 183 1.1000 25.4000 0.0000 
54534 2021 8 3 18 170 2.7000 24.7000 0.0000 
54534 2021 8 3 19 174 1.7000 24.9000 0.0000 
54534 2021 8 3 20 171 1.3000 24.8000 0.0000 
54534 2021 8 3 21 167 2.0000 25.0000 0.0000 
54534 2021 8 3 22 151 1.7000 24.9000 0.0000 
54535 2021 8 3 18 163 1.6000 24.6000 0.0000 
54535 2021 8 3 19 167 2.4000 24.8000 0.0000 
54535 2021 8 3 20 179 2.6000 25.1000 0.0000 
54535 2021 8 3 21 186 1.6000 25.0000 0.0000 
54535 2021 8 3 22 156 1.0000 25.0000 0.0000 
54539 2021 8 3 18 169 1.7000 23.6000 0.0000 
54539 2021 8 3 19 192 1.7000 23.6000 0.0000 
54539 2021 8 3 20 167 1.9000 23.6000 0.0000 
54539 2021 8 3 21 175 1.2000 23.6000 0.0000 
54539 2021 8 3 22 156 1.4000 23.7000 0.0000 
54540 2021 8 3 18 242 1.4000 23.0000 0.0000 
54540 2021 8 3 19 230 0.9000 22.8000 0.0000 
54540 2021 8 3 20 999017 0.0000 22.9000 0.0000 
54540 2021 8 3 21 267 0.5000 22.8000 0.0000 
